name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Peas and onions, with salt, drained, boiled, cooked, frozen",100 g,45,,2.54 g,8.63 g,0.20 g,2.2 g,3.77 g,0.036 g,0.019 g,Vegetables,Vegetables (Vegan)
"Peas and carrots, solids and liquids, no salt added, canned",100 g,38,,2.17 g,8.48 g,0.27 g,3.3 g,2.83 g,0.049 g,0.023 g,Vegetables,Vegetables (Vegan)
"Squash, unprepared, frozen, includes skin, zucchini, summer",100 g,17,,1.16 g,3.58 g,0.13 g,1.3 g,1.71 g,0.027 g,0.010 g,Vegetables,Vegetables (Vegan)
"Tea, herb and laborador combination (Alaska Native), tundra",100 g,1,,0.00 g,0.20 g,0.00 g,0,0,0.000 g,0.000 g,Vegetables,Other
"Crustaceans, made from surimi, imitation, alaska king, crab",100 g,95,0.2g,7.62 g,15.00 g,0.46 g,0.5 g,6.25 g,0.216 g,0.275 g,Carbs,Other
"Potatoes, with salt, drained, boiled, cooked, whole, frozen",100 g,63,,1.98 g,13.93 g,0.13 g,1.4 g,0,0.034 g,0.003 g,Mixed,Other
"Pork, roasted, extra lean and regular, boneless, ham, cured",100 g,165,2.6g,21.97 g,0.50 g,7.66 g,0.0 g,0.00 g,2.610 g,3.740 g,Protein,Red Meat
"DIGIORNO Pizza, baked, frozen, rising crust, cheese topping",100 g,256,3.5g,12.80 g,31.78 g,8.60 g,2.4 g,5.00 g,3.514 g,1.854 g,Carbs,Dairy (Vegetarian)
"English muffins, raisin-cinnamon (includes apple-cinnamon)",100 g,240,0.5g,7.91 g,48.10 g,1.80 g,2.6 g,14.76 g,0.540 g,0.846 g,Carbs,Other
"Chicken, stewed, cooked, meat and skin, broilers or fryers",100 g,219,3.5g,24.68 g,0.00 g,12.56 g,0.0 g,0.00 g,3.500 g,4.930 g,Protein,Poultry
"Veal, raw, separable lean only, rib roast, rib, Australian",100 g,134,2.1g,21.70 g,1.40 g,4.63 g,0.0 g,0.00 g,2.053 g,1.813 g,Protein,Other
"Beef, baked, cooked, loaf, 90% lean meat / 10% fat, ground",100 g,214,4.4g,26.62 g,0.00 g,11.10 g,0.0 g,0.00 g,4.375 g,4.672 g,Protein,Red Meat
"USDA Commodity, heated, cooked, boneless, ham, cured, pork",100 g,149,1.7g,18.84 g,0.00 g,7.62 g,0.0 g,0.00 g,1.701 g,2.864 g,Protein,Red Meat
"Soup, reduced sodium, condensed, canned, cream of mushroom",100 g,52,0.5g,1.21 g,8.10 g,1.69 g,0.6 g,2.13 g,0.530 g,0.440 g,Mixed,Other
"Peas, without salt, drained, boiled, cooked, frozen, green",100 g,78,,5.15 g,14.26 g,0.27 g,4.5 g,4.40 g,0.049 g,0.024 g,Mixed,Other
"Lima beans, with salt, boiled, cooked, mature seeds, large",100 g,115,0.1g,7.80 g,20.88 g,0.38 g,7.0 g,2.90 g,0.089 g,0.034 g,Carbs,Legumes (Vegan)
"Whiskey sour mix, with added potassium and sodium, bottled",100 g,84,,0.10 g,21.40 g,0.10 g,0.0 g,0,0.008 g,0.002 g,Carbs,Other
"Pork, raw, separable lean and fat, tenderloin, loin, fresh",100 g,120,1.2g,20.65 g,0.00 g,3.53 g,0.0 g,0.00 g,1.181 g,1.355 g,Protein,Red Meat
"Chickpeas (garbanzo beans, bengal gram), raw, mature seeds",100 g,378,0.6g,20.47 g,62.95 g,6.04 g,12.2 g,10.70 g,0.603 g,1.377 g,Protein,Legumes (Vegan)
"Tortilla, includes plain and from mutton sandwich (Navajo)",100 g,237,0.3g,7.28 g,49.94 g,0.95 g,2.4 g,2.75 g,0.296 g,0.185 g,Carbs,Other
"Pork, braised, cooked, spleen, variety meats and by-products, fresh",100 g,149,1.1g,28.20 g,0.00 g,3.20 g,0.0 g,0,1.060 g,0.860 g,Protein,Red Meat
"Game meat, braised, cooked, separable lean only, shoulder clod, deer",100 g,191,2.2g,36.28 g,0.00 g,3.95 g,0.0 g,0.00 g,2.239 g,0.895 g,Protein,Other
"Pork, roasted, extra lean (approximately 5% fat), boneless, ham, cured",100 g,145,1.8g,20.93 g,1.50 g,5.53 g,0.0 g,0.00 g,1.810 g,2.620 g,Protein,Red Meat
"Beef, raw, kidney, variety meats and by-products, imported, New Zealand",100 g,87,0.6g,15.68 g,0.00 g,2.64 g,0.0 g,0.00 g,0.616 g,0.345 g,Protein,Red Meat
"Gourd, without salt, drained, boiled, cooked, white-flowered (calabash)",100 g,15,,0.60 g,3.69 g,0.02 g,1.2 g,0,0.002 g,0.004 g,Vegetables,Vegetables (Vegan)
"Pasta, dry, remaining unenriched semolina, 51% whole wheat, whole grain",100 g,362,0.4g,13.51 g,73.10 g,2.68 g,10.1 g,2.60 g,0.351 g,0.281 g,Carbs,Other
"Spinach, without salt, drained, boiled, cooked, chopped or leaf, frozen",100 g,34,0.2g,4.01 g,4.80 g,0.87 g,3.7 g,0.51 g,0.157 g,0.000 g,Vegetables,Vegetables (Vegan)
"Fish, packed in oil (Alaska Native), air-dried, flesh, Pacific, herring",100 g,489,,44.50 g,0.00 g,34.60 g,0,0,0,0,Protein,Fish
"Leavening agents, sodium aluminum sulfate, double-acting, baking powder",100 g,53,,0.00 g,27.70 g,0.00 g,0.2 g,0.00 g,0.000 g,0.000 g,Carbs,Other
"Pork, roasted, extra lean and regular, low sodium, boneless, ham, cured",100 g,165,2.6g,22.00 g,0.50 g,7.70 g,0.0 g,0.00 g,2.624 g,3.760 g,Protein,Red Meat
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, steak, flank",100 g,149,2.6g,21.72 g,0.00 g,6.29 g,0.0 g,0.00 g,2.612 g,2.477 g,Protein,Red Meat
"Chicken, stewed, meat and skin and giblets and neck, broilers or fryers",100 g,216,3.5g,24.49 g,0.06 g,12.37 g,0.0 g,0,3.450 g,4.820 g,Protein,Poultry
"Turkey, roasted, with added solution, meat only, from whole bird, thigh",100 g,158,1.8g,26.10 g,0.00 g,6.00 g,0.0 g,0.00 g,1.807 g,2.061 g,Protein,Poultry
"Pork, raw, separable lean only, boneless, top loin (chops), loin, fresh",100 g,127,1.2g,22.41 g,0.00 g,3.42 g,0.0 g,0.00 g,1.208 g,1.546 g,Protein,Red Meat
"Rolls, made with low fat (2%) milk, prepared from recipe, plain, dinner",100 g,316,1.8g,8.50 g,53.40 g,7.30 g,1.9 g,0,1.795 g,2.881 g,Carbs,Dairy (Vegetarian)
