name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Eggplant, raw",100 g,25,,0.98 g,5.88 g,0.18 g,3.0 g,3.53 g,0.034 g,0.016 g,Vegetables,Eggs (Vegetarian)
"Teff, uncooked",100 g,367,0.4g,13.30 g,73.13 g,2.38 g,8.0 g,1.84 g,0.449 g,0.589 g,Carbs,Other
"Sherbet, orange",100 g,144,1.2g,1.10 g,30.40 g,2.00 g,1.3 g,24.32 g,1.160 g,0.530 g,Carbs,Other
"Cauliflower, raw",100 g,25,0.1g,1.92 g,4.97 g,0.28 g,2.0 g,1.91 g,0.130 g,0.034 g,Vegetables,Vegetables (Vegan)
"Taro leaves, raw",100 g,42,0.2g,4.98 g,6.70 g,0.74 g,3.7 g,3.01 g,0.151 g,0.060 g,Vegetables,Vegetables (Vegan)
Vegetarian fillets,100 g,290,2.8g,23.00 g,9.00 g,18.00 g,6.1 g,0.80 g,2.849 g,4.376 g,Protein,Other
"Mango nectar, canned",100 g,51,,0.11 g,13.12 g,0.06 g,0.3 g,12.45 g,0.014 g,0.022 g,Fruits,Fruits (Vegan)
"Crackers, rusk toast",100 g,407,1.4g,13.50 g,72.30 g,7.20 g,0,0,1.376 g,2.755 g,Carbs,Other
"Chicken, boiled, feet",100 g,215,3.9g,19.40 g,0.20 g,14.60 g,0.0 g,0.00 g,3.920 g,5.500 g,Protein,Poultry
"Quail, raw, meat only",100 g,134,1.3g,21.76 g,0.00 g,4.53 g,0.0 g,0,1.320 g,1.280 g,Protein,Other
"Peppers, raw, jalapeno",100 g,29,0.1g,0.91 g,6.50 g,0.37 g,2.8 g,4.12 g,0.092 g,0.029 g,Vegetables,Vegetables (Vegan)
"Winged bean tuber, raw",100 g,148,0.2g,11.60 g,28.10 g,0.90 g,0,0,0.222 g,0.234 g,Carbs,Legumes (Vegan)
"Salami, turkey, cooked",100 g,172,2.8g,19.20 g,1.55 g,9.21 g,0.1 g,1.12 g,2.783 g,3.172 g,Protein,Poultry
"Grapes, raw, muscadine",100 g,57,,0.81 g,13.93 g,0.47 g,3.9 g,0,0,0,Mixed,Other
"Nuts, raw, ginkgo nuts",100 g,182,0.3g,4.32 g,37.60 g,1.68 g,0,0,0.319 g,0.619 g,Carbs,Nuts and Seeds (Vegan)
"Ostrich, raw, top loin",100 g,119,1.2g,21.67 g,0.00 g,2.95 g,0.0 g,0.00 g,1.200 g,1.060 g,Protein,Other
"Pasta, unenriched, dry",100 g,371,0.3g,13.04 g,74.67 g,1.51 g,3.2 g,2.67 g,0.277 g,0.171 g,Carbs,Other
"Broccoli, raw, chinese",100 g,30,0.1g,1.20 g,4.67 g,0.76 g,2.6 g,0.88 g,0.116 g,0.053 g,Vegetables,Vegetables (Vegan)
"Agave, raw (Southwest)",100 g,68,,0.52 g,16.23 g,0.15 g,6.6 g,2.58 g,0,0,Carbs,Other
"Emu, raw, outside drum",100 g,103,0.1g,23.08 g,0.00 g,0.48 g,0.0 g,0.00 g,0.122 g,0.202 g,Protein,Other
"Lentils, raw, sprouted",100 g,106,0.1g,8.96 g,22.14 g,0.55 g,0,0,0.057 g,0.104 g,Carbs,Legumes (Vegan)
"Gravy, mix, dry, onion",100 g,322,1.9g,9.00 g,67.64 g,3.00 g,6.0 g,0,1.860 g,0.900 g,Carbs,Other
"Fish, raw, sheepshead",100 g,108,0.6g,20.21 g,0.00 g,2.41 g,0.0 g,0,0.609 g,0.728 g,Protein,Fish
"Brussels sprouts, raw",100 g,43,0.1g,3.38 g,8.95 g,0.30 g,3.8 g,2.20 g,0.062 g,0.023 g,Vegetables,Vegetables (Vegan)
"Broccoli raab, cooked",100 g,33,0.1g,3.83 g,3.12 g,0.52 g,2.8 g,0.62 g,0.057 g,0.030 g,Vegetables,Vegetables (Vegan)
"Chicory, raw, witloof",100 g,17,,0.90 g,4.00 g,0.10 g,3.1 g,0,0.024 g,0.002 g,Vegetables,Vegetables (Vegan)
"Broccoli, raw, leaves",100 g,28,0.1g,2.98 g,5.06 g,0.35 g,2.3 g,1.48 g,0.054 g,0.024 g,Vegetables,Vegetables (Vegan)
"Durian, raw or frozen",100 g,147,,1.47 g,27.09 g,5.33 g,3.8 g,0,0,0,Carbs,Other
"Tomatoes, raw, orange",100 g,16,,1.16 g,3.18 g,0.19 g,0.9 g,0,0.025 g,0.028 g,Vegetables,Other
"Tomatoes, raw, yellow",100 g,15,,0.98 g,2.98 g,0.26 g,0.7 g,0,0.036 g,0.040 g,Vegetables,Other
"Fish, smoked, haddock",100 g,116,0.2g,25.23 g,0.00 g,0.96 g,0.0 g,0.00 g,0.173 g,0.157 g,Protein,Fish
"Ground turkey, cooked",100 g,203,2.7g,27.37 g,0.00 g,10.40 g,0.0 g,0.00 g,2.669 g,3.458 g,Protein,Poultry
"Bread, toasted, wheat",100 g,313,1g,12.96 g,55.77 g,4.27 g,4.7 g,6.42 g,0.989 g,1.019 g,Carbs,Grains (Vegan)
"Fireweed, raw, leaves",100 g,103,,4.71 g,19.22 g,2.75 g,10.6 g,0,0,0,Carbs,Other
"Beef, pastrami, cured",100 g,147,2.7g,21.80 g,0.36 g,5.82 g,0.0 g,0.10 g,2.681 g,2.118 g,Protein,Red Meat
"Frankfurter, meatless",100 g,233,1.7g,19.61 g,7.70 g,13.73 g,3.9 g,0.00 g,1.653 g,2.540 g,Protein,Other
"Emu, raw, flat fillet",100 g,102,0.2g,22.25 g,0.00 g,0.74 g,0.0 g,0.00 g,0.187 g,0.295 g,Protein,Other
"Emu, raw, inside drum",100 g,108,0.4g,22.22 g,0.00 g,1.49 g,0.0 g,0.00 g,0.386 g,0.532 g,Protein,Other
"USDA Commodity, salsa",100 g,36,,1.50 g,7.00 g,0.20 g,1.4 g,0,0.029 g,0.016 g,Vegetables,Vegetables (Vegan)
"Game meat, raw, horse",100 g,133,1.4g,21.39 g,0.00 g,4.60 g,0.0 g,0,1.440 g,1.610 g,Protein,Other
"Broccoli, raw, stalks",100 g,28,0.1g,2.98 g,5.24 g,0.35 g,0,0,0.054 g,0.024 g,Vegetables,Other
"Gravy, canned, au jus",100 g,16,0.1g,1.20 g,2.50 g,0.20 g,0.0 g,0,0.100 g,0.080 g,Vegetables,Other
SILK Original Creamer,100 g,100,,0.00 g,6.67 g,6.67 g,0.0 g,0.00 g,0.000 g,0,Mixed,Other
SILK Hazelnut Creamer,100 g,133,,0.00 g,20.00 g,6.67 g,0.0 g,20.00 g,0.000 g,0,Carbs,Nuts and Seeds (Vegan)
"Soup, mix, dry, onion",100 g,293,0.1g,7.48 g,65.07 g,0.34 g,6.6 g,4.65 g,0.089 g,0.067 g,Carbs,Other
"Mushrooms, raw, enoki",100 g,37,,2.66 g,7.81 g,0.29 g,2.7 g,0.22 g,0.020 g,0.000 g,Vegetables,Vegetables (Vegan)
"Crackers, whole-wheat",100 g,427,2.1g,10.58 g,69.55 g,14.13 g,10.3 g,1.19 g,2.063 g,3.248 g,Carbs,Other
"Hominy, white, canned",100 g,72,0.1g,1.48 g,14.26 g,0.88 g,2.5 g,1.82 g,0.123 g,0.231 g,Mixed,Other
"Game meat, raw, moose",100 g,102,0.2g,22.24 g,0.00 g,0.74 g,0.0 g,0,0.220 g,0.150 g,Protein,Other
"Pears, red anjou, raw",100 g,62,,0.33 g,14.94 g,0.14 g,3.0 g,9.54 g,0,0,Fruits,Fruits (Vegan)
"Horseradish, prepared",100 g,48,0.1g,1.18 g,11.29 g,0.69 g,3.3 g,7.99 g,0.090 g,0.130 g,Fruits,Fruits (Vegan)
"Fish, raw, butterfish",100 g,146,3.4g,17.28 g,0.00 g,8.02 g,0.0 g,0,3.380 g,3.380 g,Protein,Fish
"Lebanon bologna, beef",100 g,172,2.8g,19.03 g,0.44 g,10.44 g,0.0 g,0.00 g,2.794 g,4.436 g,Protein,Red Meat
"Sauce, worcestershire",100 g,78,,0.00 g,19.46 g,0.00 g,0.0 g,10.03 g,0.000 g,0.000 g,Fruits,Fruits (Vegan)
"Hummus, home prepared",100 g,177,1.1g,4.86 g,20.12 g,8.59 g,4.0 g,0.27 g,1.141 g,4.865 g,Carbs,Other
Horned melon (Kiwano),100 g,44,,1.78 g,7.56 g,1.26 g,0,0,0,0,Mixed,Other
"Peppers, raw, serrano",100 g,32,0.1g,1.74 g,6.70 g,0.44 g,3.7 g,3.83 g,0.059 g,0.023 g,Vegetables,Vegetables (Vegan)
"Cabbage, cooked, napa",100 g,12,,1.10 g,2.23 g,0.17 g,0,0,0,0,Vegetables,Other
"Peppers, dried, ancho",100 g,281,0.8g,11.86 g,51.42 g,8.20 g,21.6 g,0,0.820 g,0.492 g,Carbs,Other
"Parsley, freeze-dried",100 g,271,,31.30 g,42.38 g,5.20 g,32.7 g,0,0,0,Protein,Other
"Yambean (jicama), raw",100 g,38,,0.72 g,8.82 g,0.09 g,4.9 g,1.80 g,0.021 g,0.005 g,Vegetables,Legumes (Vegan)
"Kiwifruit, raw, green",100 g,61,,1.14 g,14.66 g,0.52 g,3.0 g,8.99 g,0.029 g,0.047 g,Fruits,Fruits (Vegan)
"Drumstick leaves, raw",100 g,64,,9.40 g,8.28 g,1.40 g,2.0 g,0,0,0,Mixed,Other
"Yautia (tannier), raw",100 g,98,0.1g,1.46 g,23.63 g,0.40 g,1.5 g,0,0.082 g,0,Carbs,Other
"Cucumber, raw, peeled",100 g,12,,0.59 g,2.16 g,0.16 g,0.7 g,1.38 g,0.013 g,0.002 g,Vegetables,Other
"Dandelion greens, raw",100 g,45,0.2g,2.70 g,9.20 g,0.70 g,3.5 g,0.71 g,0.170 g,0.014 g,Vegetables,Vegetables (Vegan)
"Melons, raw, honeydew",100 g,36,,0.54 g,9.09 g,0.14 g,0.8 g,8.12 g,0.038 g,0.003 g,Mixed,Other
Potato salad with egg,100 g,157,1.4g,1.96 g,16.18 g,9.40 g,1.3 g,4.95 g,1.437 g,2.000 g,Carbs,Eggs (Vegetarian)
"Mushrooms, raw, white",100 g,22,0.1g,3.09 g,3.26 g,0.34 g,1.0 g,1.98 g,0.050 g,0.000 g,Vegetables,Other
"Mushrooms, raw, morel",100 g,31,0.1g,3.12 g,5.10 g,0.57 g,2.8 g,0.60 g,0.065 g,0.052 g,Vegetables,Vegetables (Vegan)
"Oranges, Florida, raw",100 g,46,,0.70 g,11.54 g,0.21 g,2.4 g,9.14 g,0.025 g,0.039 g,Fruits,Fruits (Vegan)
"SILK Vanilla, soymilk",100 g,41,0.2g,2.47 g,4.12 g,1.44 g,0.4 g,2.88 g,0.206 g,0,Mixed,Dairy (Vegetarian)
"Papaya nectar, canned",100 g,57,,0.17 g,14.51 g,0.15 g,0.6 g,13.91 g,0.047 g,0.041 g,Fruits,Fruits (Vegan)
"Fiddlehead ferns, raw",100 g,34,,4.55 g,5.54 g,0.40 g,0,0,0,0,Vegetables,Other
SILK Peach soy yogurt,100 g,94,,2.35 g,18.82 g,1.18 g,0.6 g,14.71 g,0.000 g,0,Carbs,Dairy (Vegetarian)
SILK Plain soy yogurt,100 g,66,0.2g,2.64 g,9.69 g,1.76 g,0.4 g,5.29 g,0.220 g,0,Mixed,Dairy (Vegetarian)
Yeast extract spread,100 g,185,,23.88 g,20.42 g,0.90 g,6.5 g,1.60 g,0.000 g,0.000 g,Protein,Other
"Tomatoes, raw, green",100 g,23,,1.20 g,5.10 g,0.20 g,1.1 g,4.00 g,0.028 g,0.030 g,Vegetables,Vegetables (Vegan)
"Mollusks, raw, snail",100 g,90,0.4g,16.10 g,2.00 g,1.40 g,0.0 g,0.00 g,0.361 g,0.259 g,Protein,Other
"Emu, raw, fan fillet",100 g,103,0.2g,22.50 g,0.00 g,0.80 g,0.0 g,0.00 g,0.201 g,0.319 g,Protein,Other
"Pasta, enriched, dry",100 g,371,0.3g,13.04 g,74.67 g,1.51 g,3.2 g,2.67 g,0.277 g,0.171 g,Carbs,Other
"Sour cream, fat free",100 g,74,,3.10 g,15.60 g,0.00 g,0.0 g,0.39 g,0.000 g,0.000 g,Carbs,Other
"MURRAY, Honey Graham",100 g,445,3.2g,5.90 g,75.70 g,13.20 g,2.7 g,22.00 g,3.200 g,5.500 g,Carbs,Other
"Frankfurter, chicken",100 g,223,3.9g,15.51 g,2.74 g,16.19 g,0.0 g,2.98 g,3.856 g,5.932 g,Protein,Poultry
"Corn, dried (Navajo)",100 g,386,0.8g,9.88 g,74.93 g,5.22 g,0,5.38 g,0.820 g,1.483 g,Carbs,Other
"Chives, freeze-dried",100 g,311,0.6g,21.20 g,64.29 g,3.50 g,26.2 g,0,0.591 g,0.490 g,Protein,Other
"Fish, raw, sablefish",100 g,195,3.2g,13.41 g,0.00 g,15.30 g,0.0 g,0,3.201 g,8.057 g,Protein,Fish
"Crackers, multigrain",100 g,482,3.3g,7.10 g,67.60 g,20.40 g,3.5 g,12.00 g,3.300 g,5.000 g,Carbs,Other
"Rice noodles, cooked",100 g,108,,1.79 g,24.01 g,0.20 g,1.0 g,0.03 g,0.023 g,0.026 g,Carbs,Grains (Vegan)
"Sesbania flower, raw",100 g,27,,1.28 g,6.73 g,0.04 g,0,0,0,0,Vegetables,Other
"Ostrich, raw, ground",100 g,165,2.2g,20.22 g,0.00 g,8.70 g,0.0 g,0.00 g,2.177 g,2.654 g,Protein,Other
"SILK Coffee, soymilk",100 g,62,0.2g,2.06 g,10.29 g,1.44 g,0.0 g,9.47 g,0.206 g,0,Mixed,Dairy (Vegetarian)
"Peaches, raw, yellow",100 g,39,,0.91 g,9.54 g,0.25 g,1.5 g,8.39 g,0.019 g,0.067 g,Mixed,Other
"Rolls, wheat, dinner",100 g,273,1.5g,8.60 g,46.00 g,6.30 g,3.8 g,1.63 g,1.497 g,3.109 g,Carbs,Other
"Chicken, raw, ground",100 g,143,2.3g,17.44 g,0.04 g,8.10 g,0.0 g,0.00 g,2.301 g,3.611 g,Protein,Poultry
"Pears, bartlett, raw",100 g,63,,0.39 g,15.01 g,0.16 g,3.1 g,9.69 g,0,0,Fruits,Fruits (Vegan)
"Seaweed, raw, wakame",100 g,45,0.1g,3.03 g,9.14 g,0.64 g,0.5 g,0.65 g,0.130 g,0.058 g,Vegetables,Other
"Seaweed, dried, agar",100 g,306,0.1g,6.21 g,80.88 g,0.30 g,7.7 g,2.97 g,0.061 g,0.027 g,Carbs,Other
"Bread, cracked-wheat",100 g,260,0.9g,8.70 g,49.50 g,3.90 g,5.5 g,0,0.916 g,1.902 g,Carbs,Grains (Vegan)
"Amaranth leaves, raw",100 g,23,0.1g,2.46 g,4.02 g,0.33 g,0,0,0.091 g,0.076 g,Vegetables,Other
"Barley, raw, pearled",100 g,352,0.2g,9.91 g,77.72 g,1.16 g,15.6 g,0.80 g,0.244 g,0.149 g,Carbs,Other
"Bacon bits, meatless",100 g,476,4.1g,32.00 g,28.60 g,25.90 g,10.2 g,0.00 g,4.055 g,6.225 g,Protein,Other
"Semolina, unenriched",100 g,360,0.2g,12.68 g,72.83 g,1.05 g,3.9 g,0,0.150 g,0.124 g,Carbs,Other
"Grape leaves, canned",100 g,69,0.3g,4.27 g,11.71 g,1.97 g,9.9 g,0,0.312 g,0.076 g,Mixed,Other
"Ostrich, raw, oyster",100 g,125,1.2g,21.55 g,0.00 g,3.67 g,0.0 g,0.00 g,1.220 g,1.250 g,Protein,Other
"Pumpkin flowers, raw",100 g,15,,1.03 g,3.28 g,0.07 g,0,0,0.036 g,0.009 g,Vegetables,Other
"Crackers, egg, matzo",100 g,391,0.5g,12.30 g,78.60 g,2.10 g,2.8 g,0,0.548 g,0.612 g,Carbs,Eggs (Vegetarian)
"Loganberries, frozen",100 g,55,,1.52 g,13.02 g,0.31 g,5.3 g,7.70 g,0.011 g,0.030 g,Fruits,Fruits (Vegan)
"Soybeans, raw, green",100 g,147,0.8g,12.95 g,11.05 g,6.80 g,4.2 g,0,0.786 g,1.284 g,Protein,Legumes (Vegan)
"Soybean, curd cheese",100 g,151,1.2g,12.50 g,6.90 g,8.10 g,0.0 g,1.60 g,1.172 g,1.789 g,Protein,Legumes (Vegan)
"Game meat, raw, bear",100 g,161,,20.10 g,0.00 g,8.30 g,0.0 g,0,0,0,Protein,Other
"Game meat, raw, deer",100 g,120,1g,22.96 g,0.00 g,2.42 g,0.0 g,0.00 g,0.950 g,0.670 g,Protein,Other
"Oranges, navels, raw",100 g,49,,0.91 g,12.54 g,0.15 g,2.2 g,8.50 g,0.017 g,0.030 g,Fruits,Fruits (Vegan)
"Fish, raw, swordfish",100 g,144,1.6g,19.66 g,0.00 g,6.65 g,0.0 g,0.00 g,1.602 g,2.971 g,Protein,Fish
"Taro, raw, tahitian",100 g,44,0.2g,2.79 g,6.91 g,0.97 g,0,0,0.197 g,0.078 g,Vegetables,Other
"Chicory greens, raw",100 g,23,0.1g,1.70 g,4.70 g,0.30 g,4.0 g,0.70 g,0.073 g,0.006 g,Vegetables,Vegetables (Vegan)
"Hearts of palm, raw",100 g,115,,2.70 g,25.61 g,0.20 g,1.5 g,17.16 g,0.046 g,0.005 g,Fruits,Fruits (Vegan)
"Chayote, raw, fruit",100 g,19,,0.82 g,4.51 g,0.13 g,1.7 g,1.66 g,0.028 g,0.010 g,Vegetables,Vegetables (Vegan)
"Fish, smoked, cisco",100 g,177,1.7g,16.36 g,0.00 g,11.90 g,0.0 g,0.00 g,1.741 g,5.484 g,Protein,Fish
"Frankfurter, turkey",100 g,223,4g,12.23 g,3.81 g,17.29 g,0.0 g,1.21 g,4.028 g,5.736 g,Protein,Poultry
Soy protein isolate,100 g,335,0.4g,88.32 g,0.00 g,3.39 g,0.0 g,0.00 g,0.422 g,0.645 g,Protein,Other
"Fish, raw, milkfish",100 g,148,1.7g,20.53 g,0.00 g,6.73 g,0.0 g,0,1.660 g,2.580 g,Protein,Fish
"Fish, raw, monkfish",100 g,76,0.3g,14.48 g,0.00 g,1.52 g,0.0 g,0,0.340 g,0.240 g,Protein,Fish
"Guavas, raw, common",100 g,68,0.3g,2.55 g,14.32 g,0.95 g,5.4 g,8.92 g,0.272 g,0.087 g,Fruits,Fruits (Vegan)
"Bread, toasted, rye",100 g,284,0.7g,9.40 g,53.10 g,3.60 g,6.4 g,4.23 g,0.688 g,1.440 g,Carbs,Grains (Vegan)
"Meatballs, meatless",100 g,197,1.4g,21.00 g,8.00 g,9.00 g,4.6 g,1.25 g,1.425 g,2.188 g,Protein,Other
"Emu, raw, full rump",100 g,112,0.4g,22.83 g,0.00 g,1.64 g,0.0 g,0.00 g,0.448 g,0.516 g,Protein,Other
"Mustard greens, raw",100 g,27,,2.86 g,4.67 g,0.42 g,3.2 g,1.32 g,0.010 g,0.092 g,Vegetables,Vegetables (Vegan)
"Seaweed, raw, laver",100 g,35,0.1g,5.81 g,5.11 g,0.28 g,0.3 g,0.49 g,0.061 g,0.025 g,Mixed,Other
"Figs, stewed, dried",100 g,107,0.1g,1.42 g,27.57 g,0.40 g,4.2 g,23.35 g,0.062 g,0.068 g,Fruits,Fruits (Vegan)
"Bread sticks, plain",100 g,412,1.4g,12.00 g,68.40 g,9.50 g,3.0 g,1.26 g,1.410 g,3.568 g,Carbs,Grains (Vegan)
"SILK Mocha, soymilk",100 g,58,0.2g,2.06 g,9.05 g,1.44 g,0.0 g,7.41 g,0.206 g,0,Mixed,Dairy (Vegetarian)
"Bread, pumpernickel",100 g,250,0.4g,8.70 g,47.50 g,3.10 g,6.5 g,0.53 g,0.437 g,0.932 g,Carbs,Grains (Vegan)
"Game meat, raw, elk",100 g,111,0.5g,22.95 g,0.00 g,1.45 g,0.0 g,0,0.530 g,0.360 g,Protein,Other
"Ostrich, raw, round",100 g,116,0.8g,21.99 g,0.00 g,2.40 g,0.0 g,0.00 g,0.810 g,0.850 g,Protein,Other
"HORMEL, Cure 81 Ham",100 g,106,1.2g,18.43 g,0.21 g,3.59 g,0,0.00 g,1.170 g,1.750 g,Protein,Other
"Bread, toasted, egg",100 g,315,1.6g,10.50 g,52.60 g,6.60 g,2.5 g,1.94 g,1.616 g,2.989 g,Carbs,Eggs (Vegetarian)
"Fish, raw, mahimahi",100 g,85,0.2g,18.50 g,0.00 g,0.70 g,0.0 g,0,0.188 g,0.121 g,Protein,Fish
"Fish, raw, bluefish",100 g,124,0.9g,20.04 g,0.00 g,4.24 g,0.0 g,0,0.915 g,1.793 g,Protein,Fish
"Potatoes, skin, raw",100 g,58,,2.57 g,12.44 g,0.10 g,2.5 g,0,0.026 g,0.002 g,Mixed,Other
"Pepper, raw, banana",100 g,27,,1.66 g,5.35 g,0.45 g,3.4 g,1.95 g,0.048 g,0.027 g,Vegetables,Vegetables (Vegan)
"Drumstick pods, raw",100 g,37,,2.10 g,8.53 g,0.20 g,3.2 g,0,0.033 g,0.102 g,Vegetables,Vegetables (Vegan)
"Toppings, pineapple",100 g,253,,0.10 g,66.40 g,0.10 g,0.4 g,21.01 g,0.018 g,0.032 g,Fruits,Fruits (Vegan)
Acorn stew (Apache),100 g,95,1.3g,6.81 g,9.22 g,3.47 g,0.7 g,0.34 g,1.280 g,1.680 g,Mixed,Other
"Guava sauce, cooked",100 g,36,,0.32 g,9.48 g,0.14 g,3.6 g,5.88 g,0.040 g,0.013 g,Mixed,Other
"Pumpkin leaves, raw",100 g,19,0.2g,3.15 g,2.33 g,0.40 g,0,0,0.207 g,0.052 g,Vegetables,Other
"Melons, raw, casaba",100 g,28,,1.11 g,6.58 g,0.10 g,0.9 g,5.69 g,0.025 g,0.002 g,Mixed,Other
"Melon balls, frozen",100 g,33,0.1g,0.84 g,7.94 g,0.25 g,0.7 g,0,0.064 g,0.006 g,Vegetables,Other
"Rolls, pumpernickel",100 g,276,0.5g,10.80 g,51.87 g,2.80 g,5.4 g,0.40 g,0.495 g,0.609 g,Carbs,Other
"Gravy, dry, chicken",100 g,381,2.9g,11.27 g,62.09 g,9.73 g,0,0,2.920 g,4.648 g,Carbs,Poultry
"Fish, raw, tilefish",100 g,96,0.4g,17.50 g,0.00 g,2.31 g,0.0 g,0,0.441 g,0.571 g,Protein,Fish
"SILK Plain, soymilk",100 g,41,0.2g,2.88 g,3.29 g,1.65 g,0.4 g,2.47 g,0.206 g,0,Mixed,Dairy (Vegetarian)
"Cabbage, raw, savoy",100 g,27,,2.00 g,6.10 g,0.10 g,3.1 g,2.27 g,0.013 g,0.007 g,Vegetables,Vegetables (Vegan)
"Fish, raw, tilapia",100 g,96,0.6g,20.08 g,0.00 g,1.70 g,0.0 g,0.00 g,0.585 g,0.498 g,Protein,Fish
"Broccoli raab, raw",100 g,22,0.1g,3.17 g,2.85 g,0.49 g,2.7 g,0.38 g,0.050 g,0.026 g,Vegetables,Vegetables (Vegan)
"Corn grain, yellow",100 g,365,0.7g,9.42 g,74.26 g,4.74 g,7.3 g,0.64 g,0.667 g,1.251 g,Carbs,Other
"Turtle, raw, green",100 g,89,0.1g,19.80 g,0.00 g,0.50 g,0.0 g,0.00 g,0.127 g,0.088 g,Protein,Other
"Chicory roots, raw",100 g,72,,1.40 g,17.51 g,0.20 g,1.5 g,8.73 g,0.048 g,0.004 g,Fruits,Fruits (Vegan)
"Prickly pears, raw",100 g,41,0.1g,0.73 g,9.57 g,0.51 g,3.6 g,0,0.067 g,0.075 g,Vegetables,Vegetables (Vegan)
"Fish, raw, haddock",100 g,74,0.1g,16.32 g,0.00 g,0.45 g,0.0 g,0.00 g,0.091 g,0.061 g,Protein,Fish
"Ground turkey, raw",100 g,148,2g,19.66 g,0.00 g,7.66 g,0.0 g,0.00 g,2.024 g,2.635 g,Protein,Poultry
"Carrots, raw, baby",100 g,35,,0.64 g,8.24 g,0.13 g,2.9 g,4.76 g,0.023 g,0.007 g,Vegetables,Vegetables (Vegan)
"Semolina, enriched",100 g,360,0.2g,12.68 g,72.83 g,1.05 g,3.9 g,0,0.150 g,0.124 g,Carbs,Other
"Catsup, low sodium",100 g,101,,1.04 g,27.40 g,0.10 g,0.3 g,21.27 g,0.014 g,0.015 g,Fruits,Fruits (Vegan)
"Milk, fluid, sheep",100 g,108,4.6g,5.98 g,5.36 g,7.00 g,0.0 g,0,4.603 g,1.724 g,Mixed,Dairy (Vegetarian)
"Jute, raw, potherb",100 g,34,,4.65 g,5.80 g,0.25 g,0,0,0.038 g,0.017 g,Vegetables,Other
"Bagels, multigrain",100 g,241,,9.90 g,47.47 g,1.24 g,6.2 g,8.66 g,0.000 g,0.314 g,Carbs,Other
"Beef, dried, cured",100 g,153,1g,31.10 g,2.76 g,1.94 g,0.0 g,2.70 g,0.950 g,0.840 g,Protein,Red Meat
"Seaweed, raw, kelp",100 g,43,0.2g,1.68 g,9.57 g,0.56 g,1.3 g,0.60 g,0.247 g,0.098 g,Vegetables,Vegetables (Vegan)
"Seaweed, raw, agar",100 g,26,,0.54 g,6.75 g,0.03 g,0.5 g,0.28 g,0.006 g,0.003 g,Vegetables,Other
"Rolls, egg, dinner",100 g,307,1.6g,9.50 g,52.00 g,6.40 g,3.7 g,4.30 g,1.577 g,2.930 g,Carbs,Eggs (Vegetarian)
"Bread, white wheat",100 g,238,0.6g,10.66 g,43.91 g,2.15 g,9.2 g,5.00 g,0.630 g,0.393 g,Carbs,Grains (Vegan)
"Onions, raw, welsh",100 g,34,0.1g,1.90 g,6.50 g,0.40 g,2.4 g,2.18 g,0.067 g,0.056 g,Vegetables,Vegetables (Vegan)
"SILK Chai, soymilk",100 g,53,0.2g,2.47 g,7.82 g,1.44 g,0.0 g,5.76 g,0.206 g,0,Mixed,Dairy (Vegetarian)
"Rolls, rye, dinner",100 g,286,0.6g,10.30 g,53.10 g,3.40 g,4.9 g,1.17 g,0.605 g,1.236 g,Carbs,Other
"Gravy, dry, au jus",100 g,313,2g,9.20 g,47.49 g,9.63 g,0,0,2.026 g,4.683 g,Carbs,Other
"Hummus, commercial",100 g,166,1.4g,7.90 g,14.29 g,9.60 g,6.0 g,0,1.437 g,4.039 g,Mixed,Other
"Vinegar, distilled",100 g,18,,0.00 g,0.04 g,0.00 g,0.0 g,0.04 g,0.000 g,0.000 g,Vegetables,Other
"Sapote, raw, mamey",100 g,124,0.2g,1.45 g,32.10 g,0.46 g,5.4 g,20.14 g,0.169 g,0.102 g,Fruits,Fruits (Vegan)
"Syrups, sugar free",100 g,52,,0.80 g,12.13 g,0.00 g,0.7 g,0.01 g,0.000 g,0.000 g,Mixed,Other
"Bamboo shoots, raw",100 g,27,0.1g,2.60 g,5.20 g,0.30 g,2.2 g,3.00 g,0.069 g,0.007 g,Vegetables,Vegetables (Vegan)
"Fish, raw, lingcod",100 g,85,0.2g,17.66 g,0.00 g,1.06 g,0.0 g,0,0.197 g,0.350 g,Protein,Fish
"Yardlong bean, raw",100 g,47,0.1g,2.80 g,8.35 g,0.40 g,0,0,0.105 g,0.036 g,Vegetables,Legumes (Vegan)
"Cress, raw, garden",100 g,32,,2.60 g,5.50 g,0.70 g,1.1 g,4.40 g,0.023 g,0.239 g,Vegetables,Vegetables (Vegan)
"Lambsquarters, raw",100 g,43,0.1g,4.20 g,7.30 g,0.80 g,4.0 g,0,0.059 g,0.150 g,Vegetables,Vegetables (Vegan)
"Gravy, dry, turkey",100 g,367,2g,10.42 g,65.12 g,7.19 g,0,0,1.975 g,2.575 g,Carbs,Poultry
Vital wheat gluten,100 g,370,0.3g,75.16 g,13.79 g,1.85 g,0.6 g,0.00 g,0.272 g,0.156 g,Protein,Other
"Turnip greens, raw",100 g,32,0.1g,1.50 g,7.13 g,0.30 g,3.2 g,0.81 g,0.070 g,0.020 g,Vegetables,Vegetables (Vegan)
"Pomegranates, raw",100 g,83,0.1g,1.67 g,18.70 g,1.17 g,4.0 g,13.67 g,0.120 g,0.093 g,Carbs,Other
